Timestamp,Lot_ID,Wafer_ID,Die_X,Die_Y,Equipment_ID,Path_ID,Voltage,Chamber_Temp,Pressure,Gas_Flow,Operating_Freq,Worst_Slack,Leakage_Power,Pass_Fail,Error_Code
2026-01-01 08:00:00,LOT_00,W_00,0,0,ETCHER_A,PATH_0047,1.13,64.87,15.08,99.14,2.79,0.178,16.69,1,NORMAL
2026-01-01 08:05:00,LOT_00,W_00,1,0,ETCHER_A,PATH_0044,1.28,64.74,14.91,99.41,3.27,0.192,17.92,1,NORMAL
2026-01-01 08:10:00,LOT_00,W_00,2,0,ETCHER_A,PATH_0003,1.06,65.21,15.72,99.13,2.44,0.14,18.75,1,NORMAL
2026-01-01 08:15:00,LOT_00,W_00,3,0,ETCHER_A,PATH_0037,0.97,63.4,14.38,102.26,2.56,0.16,15.74,1,NORMAL
2026-01-01 08:20:00,LOT_00,W_00,4,0,ETCHER_A,PATH_0007,1.23,67.94,15.07,99.46,3.19,0.126,18.58,1,NORMAL
2026-01-01 08:25:00,LOT_00,W_00,5,0,ETCHER_A,PATH_0021,1.3,67.74,15.19,97.36,3.13,0.159,20.01,1,NORMAL
2026-01-01 08:30:00,LOT_00,W_00,6,0,ETCHER_A,PATH_0009,1.02,69.15,14.92,102.13,2.43,0.116,,1,NORMAL
2026-01-01 08:35:00,LOT_00,W_00,7,0,ETCHER_A,PATH_0039,1.07,69.38,14.59,100.8,2.75,0.128,18.95,1,NORMAL
2026-01-01 08:40:00,LOT_00,W_00,8,0,ETCHER_A,PATH_0018,1.39,67.08,14.92,100.74,3.6,0.175,20.44,1,NORMAL
2026-01-01 08:45:00,LOT_00,W_00,9,0,ETCHER_A,PATH_0004,0.99,64.18,14.15,99.24,2.45,0.165,17.6,1,NORMAL
2026-01-01 08:50:00,LOT_00,W_00,0,1,ETCHER_A,PATH_0025,1.01,62.28,15.86,99.52,2.52,0.176,15.27,1,NORMAL
2026-01-01 08:55:00,LOT_00,W_00,1,1,ETCHER_A,PATH_0014,0.7,66.18,15.3,101.34,1.86,0.095,18.44,1,NORMAL
